date,shift,line,planned_output,actual_output,defect_qty,downtime_min,downtime_reason,operator,source_system
2026-03-24,B,Line3,1101,1064,30,28,Material Shortage,Operator E,Google Form
2026-03-26,B,Line2,888,841,22,0,No Downtime,Operator A,Legacy Excel Log
2026-01-02,A,Line2,1127,1174,24,53,Material Shortage,Operator B,Manual CSV Upload
2026-01-15,A,Line2,1182,1159,20,105,Equipment Failure,Operator D,Google Form
2026-01-11,A,Line2,1029,985,4,28,Equipment Failure,Operator D,Manual CSV Upload
2026-04-28,C,Line2,816,740,3,68,Material Shortage,Operator C,Manual CSV Upload
2026-02-03,C,Line4,1145,1170,13,77,Material Shortage,Operator E,Google Form
2026-01-20,B,Line3,869,886,12,66,Quality Issue,Operator A,Legacy Excel Log
2026-03-11,C,Line3,1097,1039,10,45,Material Shortage,Operator A,Manual CSV Upload
2026-04-20,A,Line2,820,842,18,11,Cleaning,Operator A,Google Form
2026-04-30,B,Line2,826,808,21,16,Cleaning,Operator E,Google Form
2026-04-28,A,Line3,862,902,21,78,Material Shortage,Operator A,Manual CSV Upload
2026-02-14,B,Line4,1026,941,3,25,Changeover,Operator B,Legacy Excel Log
2026-03-04,C,Line1,839,871,25,117,Equipment Failure,Operator B,Legacy Excel Log
2026-04-05,A,Line4,907,897,16,82,Material Shortage,Operator A,Manual CSV Upload
2026-03-28,A,Line1,867,857,1,0,No Downtime,Operator B,Google Form
2026-03-28,B,Line2,1161,1088,9,34,Quality Issue,Operator E,Google Form
2026-02-04,A,Line3,811,736,21,36,Changeover,Operator D,Manual CSV Upload
2026-04-18,A,Line2,1135,1040,3,71,Changeover,Operator D,Manual CSV Upload
2026-01-24,B,Line1,967,905,6,29,Quality Issue,Operator E,Google Form
2026-03-30,B,Line1,843,735,1,0,No Downtime,Operator B,Manual CSV Upload
2026-03-10,A,Line2,922,861,20,34,Changeover,Operator D,Legacy Excel Log
2026-01-28,A,Line4,973,1016,15,81,Material Shortage,Operator C,Google Form
2026-02-28,C,Line3,1041,912,19,82,Material Shortage,Operator D,Legacy Excel Log
2026-01-10,B,Line4,1191,1182,20,822,Equipment Failure,Operator D,Manual CSV Upload
2026-04-09,B,Line4,1069,1010,10,18,Cleaning,Operator C,Legacy Excel Log
2026-01-03,C,Line2,870,829,9,58,Material Shortage,Operator B,Google Form
2026-02-23,C,Line1,985,840,7,0,No Downtime,Operator C,Manual CSV Upload
2026-01-16,C,Line2,987,856,10,40,Equipment Failure,Operator D,Manual CSV Upload
2026-03-03,B,Line2,1113,958,18,75,Material Shortage,Operator D,Google Form
2026-01-07,C,Line4,1172,1003,9,0,No Downtime,Operator D,Manual CSV Upload
2026-04-13,C,Line1,818,715,20,32,Changeover,Operator D,Google Form
2026-04-05,C,Line1,1026,1025,25,45,Quality Issue,Operator B,Google Form
2026-01-25,C,Line4,923,799,18,72,Changeover,Operator B,Google Form
2026-02-15,C,Line2,927,794,1,40,Material Shortage,Operator C,Manual CSV Upload
2026-03-05,A,Line3,1169,1069,30,13,Cleaning,Operator B,Google Form
2026-01-25,B,Line2,1079,1076,6,44,Changeover,Operator C,Manual CSV Upload
2026-04-12,A,Line4,996,873,5,0,No Downtime,Operator E,Google Form
2026-01-17,A,Line2,1169,1103,27,57,Quality Issue,Operator C,Manual CSV Upload
2026-02-11,C,Line3,1197,1032,12,0,No Downtime,Operator C,Manual CSV Upload
2026-01-01,A,Line2,987,847,1,61,Material Shortage,Operator E,Manual CSV Upload
2026-01-08,C,Line4,1130,1084,9,37,Equipment Failure,Operator B,Legacy Excel Log
2026-01-11,C,Line3,1167,1091,22,30,Equipment Failure,Operator C,Legacy Excel Log
2026-03-13,B,Line1,1110,1157,15,20,Changeover,Operator C,Google Form
2026-02-19,A,Line3,1019,1062,12,50,Equipment Failure,Operator C,Google Form
2026-01-22,A,Line3,894,796,16,64,Changeover,Operator B,Manual CSV Upload
2026-04-15,A,Line3,1000,967,22,18,Quality Issue,Operator C,Legacy Excel Log
2026-03-10,B,Line1,945,940,15,32,Cleaning,Operator C,Google Form
2026-02-18,A,Line4,1047,1043,16,19,Cleaning,Operator A,Legacy Excel Log
2026-04-03,C,Line2,1193,1154,31,44,Cleaning,Operator E,Manual CSV Upload
2026-03-28,B,Line4,841,722,13,51,Cleaning,Operator B,Legacy Excel Log
2026-04-29,B,Line3,1140,1183,15,0,No Downtime,Operator A,Manual CSV Upload
2026-04-14,A,Line2,1005,910,4,88,Material Shortage,Operator B,Google Form
2026-03-19,C,Line3,1053,1030,1,32,Material Shortage,Operator E,Legacy Excel Log
2026-04-03,B,Line4,893,934,25,48,Changeover,Operator E,Google Form
2026-02-26,C,Line4,1156,1122,7,28,Quality Issue,Operator A,Legacy Excel Log
2026-03-29,B,Line4,1124,1076,18,31,Cleaning,Operator E,Google Form
2026-01-03,B,Line2,803,730,4,11,Cleaning,Operator C,Legacy Excel Log
2026-02-02,C,Line4,1092,1124,26,49,Cleaning,Operator B,Google Form
2026-01-05,B,Line3,1069,1103,0,108,Equipment Failure,Operator B,Google Form
2026-03-28,C,Line1,842,810,19,19,Material Shortage,Operator C,Google Form
2026-02-09,A,Line2,852,862,21,0,No Downtime,Operator A,Legacy Excel Log
2026-01-31,B,Line4,963,850,22,115,Equipment Failure,Operator C,Manual CSV Upload
2026-03-05,C,Line1,1127,1160,28,15,Cleaning,Operator D,Legacy Excel Log
2026-03-18,B,Line2,858,795,12,86,Changeover,Operator C,Legacy Excel Log
2026-03-22,C,Line4,1014,862,6,82,Material Shortage,Operator A,Legacy Excel Log
2026-03-31,C,Line3,897,816,9,60,Material Shortage,Operator D,Google Form
2026-01-08,A,Line3,944,946,12,109,Equipment Failure,Operator A,Manual CSV Upload
2026-03-07,B,Line1,976,833,3,0,No Downtime,Operator E,Google Form
2026-02-28,A,Line1,1181,1121,30,44,Material Shortage,Operator E,Manual CSV Upload
2026-03-20,B,Line4,913,804,16,0,No Downtime,Operator D,Legacy Excel Log
2026-02-04,B,Line3,1128,1026,22,30,Changeover,Operator A,Manual CSV Upload
2026-02-12,A,Line4,951,878,5,0,No Downtime,Operator D,Google Form
2026-04-17,A,Line1,1113,1144,18,28,Equipment Failure,Operator D,Legacy Excel Log
2026-02-12,B,Line4,1193,1160,20,0,No Downtime,Operator C,Google Form
2026-02-21,A,Line2,1200,1217,9,49,Material Shortage,Operator A,Google Form
2026-04-19,C,Line1,1083,1110,4,98,Equipment Failure,Operator E,Manual CSV Upload
2026-03-10,A,Line1,1187,1115,31,42,Material Shortage,Operator B,Google Form
2026-03-20,B,Line1,1151,1062,28,17,Quality Issue,Operator D,Manual CSV Upload
2026-02-12,B,Line1,993,913,10,38,Quality Issue,Operator B,Manual CSV Upload
2026-03-26,B,Line3,873,880,21,80,Material Shortage,Operator C,Google Form
2026-03-18,B,Line4,840,816,9,73,Quality Issue,Operator E,Google Form
2026-02-02,B,Line2,1073,1051,9,78,Material Shortage,Operator D,Google Form
2026-03-28,B,Line3,985,1007,29,39,Cleaning,Operator B,Manual CSV Upload
2026-03-30,A,Line4,996,893,20,0,No Downtime,Operator C,Legacy Excel Log
2026-01-12,C,Line2,1047,930,6,43,Material Shortage,Operator C,Manual CSV Upload
2026-03-25,C,Line1,828,789,3,84,Changeover,Operator D,Google Form
2026-03-05,C,Line3,1177,1220,23,52,Material Shortage,Operator C,Duplicate CSV Upload
2026-02-17,A,Line4,1200,1065,10,12,Cleaning,Operator E,Google Form
2026-02-23,B,Line2,1113,1073,27,45,Equipment Failure,Operator C,Google Form
2026-03-22,C,Line1,837,742,16,0,No Downtime,Operator E,Google Form
2026-03-01,C,Line2,-269,802,17,0,No Downtime,Operator E,Legacy Excel Log
2026-01-21,C,Line3,1150,1015,15,37,Material Shortage,Operator E,Legacy Excel Log
2026-01-09,B,Line3,1144,1003,3,48,Equipment Failure,Operator C,Legacy Excel Log
2026-04-22,B,Line2,854,752,14,88,Changeover,Operator D,Legacy Excel Log
2026-01-27,A,Line1,979,892,11,42,Material Shortage,Operator D,Legacy Excel Log
2026-03-18,B,Line3,823,851,17,89,Changeover,Operator E,Legacy Excel Log
2026-01-25,A,Line3,880,841,3,94,Equipment Failure,Operator C,Legacy Excel Log
2026-04-12,A,Line1,1105,1041,17,0,No Downtime,Operator B,Manual CSV Upload
2026-02-19,B,Line1,1042,899,22,37,Equipment Failure,Operator C,Google Form
2026-02-11,A,Line2,875,887,6,34,Changeover,Operator B,Google Form
2026-03-04,C,Line3,801,682,1,88,Material Shortage,Operator D,Google Form
2026-03-26,C,Line1,-91,1166,7,23,Changeover,Operator C,Manual CSV Upload
2026-02-23,B,Line4,908,861,8,85,Material Shortage,Operator E,Google Form
2026-03-27,C,Line3,1189,1126,2,25,Changeover,Operator B,Legacy Excel Log
2026-03-28,B,Line1,843,758,13,0,No Downtime,Operator C,Legacy Excel Log
2026-01-27,B,Line1,869,908,19,77,Material Shortage,Operator C,Google Form
2026-02-25,C,Line3,1058,933,15,59,Material Shortage,Operator B,Google Form
2026-02-28,B,Line3,1178,1148,15,83,Changeover,Operator B,Legacy Excel Log
2026-04-06,A,Line3,844,730,19,29,Changeover,Operator A,Google Form
2026-02-28,B,Line4,1118,1085,4,23,Quality Issue,Operator E,Legacy Excel Log
2026-04-29,C,Line1,1066,942,10,53,Material Shortage,Operator C,Manual CSV Upload
2026-01-20,A,Line1,1145,1164,20,44,Quality Issue,Operator E,Google Form
2026-02-09,B,Line4,874,825,14,58,Equipment Failure,Operator B,Manual CSV Upload
2026-02-15,B,Line3,945,931,16,59,Changeover,Operator A,Google Form
2026-01-04,B,Line4,1080,1113,6,36,Material Shortage,Operator C,Legacy Excel Log
2026-01-03,A,Line2,1134,1139,12,100,Equipment Failure,Operator C,Google Form
2026-03-14,A,Line1,1041,935,15,96,Changeover,Operator E,Legacy Excel Log
2026-01-19,B,Line2,973,942,17,18,Material Shortage,Operator D,Legacy Excel Log
2026-02-07,B,Line2,988,1004,2,21,Quality Issue,Operator E,Legacy Excel Log
2026-04-03,A,Line1,824,708,10,0,No Downtime,Operator D,Manual CSV Upload
2026-03-07,C,Line2,1061,1019,28,19,Material Shortage,Operator D,Manual CSV Upload
2026-01-13,C,Line1,947,950,1,83,Equipment Failure,Operator B,Legacy Excel Log
2026-04-06,C,Line3,1106,1053,22,53,Cleaning,Operator A,Manual CSV Upload
2026-01-06,B,Line3,941,820,3,51,Equipment Failure,Operator E,Legacy Excel Log
2026-04-29,C,Line4,1172,1095,14,0,No Downtime,Operator B,Legacy Excel Log
2026-01-26,C,Line4,1199,1225,16,106,Equipment Failure,Operator C,Legacy Excel Log
2026-04-17,B,Line1,952,917,2,0,No Downtime,Operator C,Manual CSV Upload
2026-04-11,A,Line4,1068,979,26,0,No Downtime,Operator C,Manual CSV Upload
2026-04-28,A,Line1,1179,1156,7,55,Material Shortage,Operator C,Google Form
2026-03-30,B,Line4,850,762,9,43,Material Shortage,Operator A,Manual CSV Upload
2026-02-05,C,Line3,958,847,0,102,Equipment Failure,Operator B,Google Form
2026-04-20,C,Line3,939,955,19,73,Changeover,Operator B,Google Form
2026-03-02,C,Line3,1080,929,21,15,Cleaning,Operator A,Manual CSV Upload
2026-03-06,C,Line3,1144,1143,8,67,Changeover,Operator A,Legacy Excel Log
2026-01-28,B,Line3,846,879,13,37,Quality Issue,Operator E,Manual CSV Upload
2026-04-22,B,Line1,983,893,17,86,Equipment Failure,Operator C,Google Form
2026-04-10,C,Line4,1111,1132,8,49,Cleaning,Operator C,Google Form
2026-04-14,C,Line4,1072,1062,15,0,No Downtime,Operator C,Google Form
2026-02-22,A,Line2,1028,882,11,49,Material Shortage,Operator E,Google Form
2026-02-10,B,Line3,1137,1164,5,32,Cleaning,Operator A,Google Form
2026-02-04,A,Line1,813,724,13,0,No Downtime,Operator D,Google Form
2026-02-10,A,Line2,978,999,2,25,Quality Issue,Operator B,Google Form
2026-01-15,A,Line4,945,918,19,91,Changeover,Operator B,Manual CSV Upload
2026-04-05,B,Line2,895,850,9,26,Cleaning,Operator C,Legacy Excel Log
2026-01-23,B,Line3,1087,1013,12,64,Material Shortage,Operator B,Manual CSV Upload
2026-01-13,B,Line3,979,973,18,77,Equipment Failure,Operator E,Legacy Excel Log
2026-02-19,C,Line3,982,961,20,26,Quality Issue,Operator D,Google Form
2026-02-24,B,Line2,827,734,17,40,Cleaning,Operator D,Google Form
2026-02-06,A,Line1,1104,1094,2,62,Changeover,Operator B,Legacy Excel Log
2026-04-22,C,Line3,1127,1019,13,37,Material Shortage,Operator E,Legacy Excel Log
2026-02-01,C,Line4,-167,870,1,58,Material Shortage,Operator B,Google Form
2026-02-13,B,Line4,975,908,15,0,No Downtime,Operator D,Google Form
2026-01-20,A,Line4,969,949,8,28,Quality Issue,Operator E,Legacy Excel Log
2026-04-13,A,Line4,822,764,5,22,Material Shortage,Operator B,Legacy Excel Log
2026-04-11,A,Line2,900,769,12,31,Changeover,Operator E,Manual CSV Upload
2026-01-18,C,Line1,971,982,8,116,Equipment Failure,Operator E,Legacy Excel Log
2026-02-17,A,Line3,903,792,18,38,Equipment Failure,Operator B,Manual CSV Upload
2026-02-09,A,Line1,1144,1136,14,44,Material Shortage,Operator B,Manual CSV Upload
2026-01-15,B,Line4,1087,994,19,55,Material Shortage,Operator B,Manual CSV Upload
2026-03-01,A,Line2,1036,938,20,0,No Downtime,Operator B,Google Form
2026-03-11,B,Line3,1116,1028,24,25,Material Shortage,Operator D,Legacy Excel Log
2026-02-05,A,Line3,819,771,19,782,Changeover,Operator C,Google Form
2026-04-29,A,Line2,872,758,6,98,Changeover,Operator D,Google Form
2026-01-25,A,Line4,1157,1202,19,60,Cleaning,Operator A,Legacy Excel Log
2026-04-10,B,Line1,1177,1152,28,25,Material Shortage,Operator D,Legacy Excel Log
2026-01-18,B,Line4,920,898,8,60,Equipment Failure,Operator E,Google Form
2026-04-07,A,Line4,1003,1045,30,37,Changeover,Operator B,Manual CSV Upload
2026-03-25,A,Line1,872,801,8,0,No Downtime,Operator E,Manual CSV Upload
2026-03-31,A,Line2,854,748,0,0,No Downtime,Operator E,Manual CSV Upload
2026-02-27,B,Line2,1056,1090,27,76,Material Shortage,Operator C,Legacy Excel Log
2026-02-20,C,Line4,1025,956,13,33,Material Shortage,Operator C,Legacy Excel Log
2026-01-05,B,Line2,1152,1158,4,40,Cleaning,Operator C,Google Form
2026-03-04,A,Line4,1089,1068,2,0,No Downtime,Operator A,Google Form
2026-03-24,C,Line1,1103,975,1,73,Changeover,Operator B,Legacy Excel Log
2026-04-08,C,Line1,991,981,19,31,Cleaning,Operator C,Manual CSV Upload
2026-02-07,C,Line4,984,837,2,71,Quality Issue,Operator B,Google Form
2026-03-27,C,Line1,977,907,18,30,Material Shortage,Operator E,Manual CSV Upload
2026-04-28,B,Line1,975,861,9,0,No Downtime,Operator E,Google Form
2026-01-31,C,Line3,1032,977,1,86,Equipment Failure,Operator D,Google Form
2026-04-25,D,Line2,1182,1166,10,60,Changeover,Operator A,Legacy Excel Log
2026-04-02,B,Line4,963,947,20,28,Cleaning,Operator C,Google Form
2026-03-24,C,Line4,1072,984,10,0,No Downtime,Operator C,Legacy Excel Log
2026-03-08,B,Line4,818,824,8,0,No Downtime,Operator E,Legacy Excel Log
2026-04-03,B,Line2,931,954,23,54,Cleaning,Operator D,Manual CSV Upload
2026-04-06,C,Line4,1158,1157,7,32,Changeover,Operator A,Manual CSV Upload
2026-03-10,A,Line4,1175,1027,3,66,Changeover,Operator A,Legacy Excel Log
2026-01-24,B,Line2,1027,1033,29,86,Changeover,Operator D,Manual CSV Upload
2026-04-05,C,Line3,976,1024,14,30,Changeover,Operator A,Legacy Excel Log
2026-03-02,B,Line2,925,878,17,42,Quality Issue,Operator D,Legacy Excel Log
2026-02-27,A,Line1,847,816,13,34,Equipment Failure,Operator C,Manual CSV Upload
2026-01-21,C,Line1,943,960,9,93,Equipment Failure,Operator B,Legacy Excel Log
2026-02-26,C,Line1,805,726,5,57,Equipment Failure,Operator A,Legacy Excel Log
2026-01-23,A,Line1,1070,1093,11,43,Equipment Failure,Operator E,Google Form
2026-03-08,C,Line3,846,761,15,0,No Downtime,Operator B,Legacy Excel Log
2026-03-11,B,Line2,904,840,6,56,Changeover,Operator D,Manual CSV Upload
2026-04-30,B,Line1,973,983,13,53,Equipment Failure,Operator D,Legacy Excel Log
2026-03-15,A,Line4,847,775,14,82,Material Shortage,Operator B,Manual CSV Upload
2026-01-04,A,Line4,870,863,20,34,Material Shortage,Operator E,Legacy Excel Log
2026-01-09,C,Line1,1182,1024,2,75,Equipment Failure,Operator A,Legacy Excel Log
2026-02-23,A,Line3,939,834,2,83,Equipment Failure,Operator C,Legacy Excel Log
2026-04-07,C,Line2,1159,1177,26,21,Quality Issue,Operator D,Legacy Excel Log
2026-02-06,B,Line1,996,916,11,41,Quality Issue,Operator C,Legacy Excel Log
2026-04-29,A,Line3,846,879,5,64,Changeover,Operator A,Manual CSV Upload
2026-04-29,A,Line4,1103,1084,17,39,Cleaning,Operator C,Legacy Excel Log
2026-01-04,C,Line4,1037,985,2,26,Equipment Failure,Operator B,Legacy Excel Log
2026-01-20,C,Line1,1179,1122,1,25,Cleaning,Operator A,Manual CSV Upload
2026-03-23,B,Line1,872,830,10,64,Material Shortage,Operator D,Google Form
2026-01-07,B,Line1,1106,1105,19,48,Material Shortage,Operator D,Legacy Excel Log
2026-04-28,C,Line4,1027,1039,2,0,No Downtime,Operator C,Google Form
2026-02-09,C,Line1,996,893,20,120,Equipment Failure,Operator D,Legacy Excel Log
2026-04-20,A,Line4,1102,1068,20,65,Quality Issue,Operator E,Legacy Excel Log
2026-04-07,A,Line1,929,797,7,37,Equipment Failure,Operator A,Legacy Excel Log
2026-04-11,B,Line1,1026,895,5,15,Cleaning,Operator E,Manual CSV Upload
2026-04-07,B,Line3,867,804,20,89,Changeover,Operator B,Manual CSV Upload
2026-02-04,B,Line4,1153,1160,7,65,Changeover,Operator D,Google Form
2026-03-16,C,Line2,848,752,3,51,Changeover,Operator A,Manual CSV Upload
2026-04-16,B,Line4,922,883,17,0,No Downtime,Operator E,Duplicate CSV Upload
2026-01-16,A,Line1,1085,1026,11,47,Material Shortage,Operator C,Legacy Excel Log
2026-01-16,C,Line4,1050,1074,14,57,Material Shortage,Operator E,Legacy Excel Log
2026-02-08,B,Line2,1109,1148,21,74,Changeover,Operator E,Manual CSV Upload
2026-03-04,C,Line2,1008,935,17,22,Changeover,Operator D,Legacy Excel Log
2026-04-11,B,Line2,837,719,7,32,Equipment Failure,Operator A,Manual CSV Upload
2026-02-28,C,Line4,989,1018,29,96,Equipment Failure,Operator C,Google Form
2026-03-29,C,Line1,948,850,23,46,Cleaning,Operator E,Legacy Excel Log
2026-02-21,C,Line1,1148,1063,9,44,Equipment Failure,Operator B,Duplicate CSV Upload
2026-03-06,A,Line2,1117,965,5,62,Changeover,Operator E,Legacy Excel Log
2026-02-09,B,Line2,905,875,5,11,Cleaning,Operator A,Google Form
2026-03-31,B,Line4,1008,958,16,31,Cleaning,Operator A,Legacy Excel Log
2026-03-19,B,Line4,1131,1099,18,61,Quality Issue,Operator C,Manual CSV Upload
2026-03-03,A,Line1,1158,1065,18,39,Material Shortage,Operator D,Legacy Excel Log
2026-03-21,A,Line2,939,865,16,0,No Downtime,Operator A,Manual CSV Upload
2026-02-21,B,Line2,1183,1137,25,46,Cleaning,Operator C,Legacy Excel Log
2026-02-23,C,Line4,1193,1036,16,62,Material Shortage,Operator D,Manual CSV Upload
2026-02-28,C,Line1,1009,881,1,88,Equipment Failure,Operator A,Google Form
2026-04-17,B,Line3,1162,1001,18,56,Cleaning,Operator A,Manual CSV Upload
2026-03-17,B,Line4,1021,905,15,99,Changeover,Operator C,Google Form
2026-03-16,A,Line3,1193,1111,19,55,Material Shortage,Operator A,Manual CSV Upload
2026-03-29,B,Line3,1134,967,11,95,Equipment Failure,Operator A,Google Form
2026-01-23,A,Line2,1169,1056,7,63,Material Shortage,Operator B,Google Form
2026-01-19,C,Line1,903,775,4,64,Equipment Failure,Operator E,Manual CSV Upload
2026-01-28,B,,1108,1152,34,33,Material Shortage,Operator D,Google Form
2026-04-04,B,Line1,954,852,7,19,Material Shortage,Operator B,Google Form
2026-02-12,A,Line1,1072,971,15,52,Material Shortage,Operator C,Legacy Excel Log
2026-03-16,C,Line3,915,901,7,22,Changeover,Operator A,Manual CSV Upload
2026-02-08,C,Line3,1173,1019,13,33,Cleaning,Operator B,Legacy Excel Log
2026-04-19,B,Line2,939,930,8,20,Changeover,Operator B,Google Form
2026-03-03,C,Line4,972,924,14,92,Changeover,Operator C,Manual CSV Upload
2026-01-26,C,Line2,1034,965,22,62,Equipment Failure,Operator E,Google Form
2026-03-29,C,Line4,1154,1114,24,64,Material Shortage,Operator E,Legacy Excel Log
2026-04-03,A,Line2,1126,984,28,102,Equipment Failure,Operator B,Manual CSV Upload
2026-04-13,B,Line1,1126,1171,31,45,Cleaning,Operator B,Google Form
2026-02-01,B,Line2,952,872,2,47,Equipment Failure,Operator B,Legacy Excel Log
2026-04-08,B,Line2,904,828,1,67,Changeover,Operator A,Legacy Excel Log
2026-03-01,A,Line4,1011,907,6,76,Material Shortage,Operator D,Google Form
2026-01-11,B,Line4,1172,1054,10,69,Changeover,Operator B,Legacy Excel Log
2026-04-04,C,Line2,855,832,14,82,Material Shortage,Operator B,Legacy Excel Log
2026-04-20,C,Line1,1010,932,20,0,No Downtime,Operator E,Manual CSV Upload
2026-01-03,A,Line3,919,911,26,28,Equipment Failure,Operator D,Legacy Excel Log
2026-04-07,B,Line4,839,856,7,50,Material Shortage,Operator C,Manual CSV Upload
2026-01-04,C,Line3,1013,1059,1,79,Material Shortage,Operator A,Manual CSV Upload
2026-04-26,A,Line3,1002,951,10,65,Changeover,Operator B,Google Form
2026-02-13,A,Line1,961,911,26,0,No Downtime,Operator C,Manual CSV Upload
2026-02-21,A,Line3,842,778,21,75,Equipment Failure,Operator C,Legacy Excel Log
2026-02-04,A,Line2,1180,1107,27,68,Material Shortage,Operator E,Legacy Excel Log
2026-03-24,B,Line2,1183,1142,31,63,Equipment Failure,Operator C,Manual CSV Upload
2026-02-24,B,Line1,824,766,15,57,Equipment Failure,Operator D,Legacy Excel Log
2026-03-16,C,Line4,1129,983,13,24,Changeover,Operator A,Google Form
2026-03-07,B,Line3,965,840,24,45,Quality Issue,Operator C,Legacy Excel Log
2026-03-13,B,Line4,1155,1050,0,27,Changeover,Operator C,Manual CSV Upload
2026-03-19,A,Line4,882,875,7,0,No Downtime,Operator B,Google Form
2026-01-03,B,Line3,806,732,8,96,Equipment Failure,Operator B,Legacy Excel Log
2026-04-21,B,Line4,1002,1048,1,42,Material Shortage,Operator B,Manual CSV Upload
2026-01-30,B,Line4,802,731,0,15,Cleaning,Operator C,Manual CSV Upload
2026-03-29,B,Line2,905,866,18,0,No Downtime,Operator D,Legacy Excel Log
2026-04-17,B,Line4,801,742,15,0,No Downtime,Operator A,Legacy Excel Log
2026-04-01,C,Line3,1160,1034,21,64,Changeover,Operator E,Legacy Excel Log
2026-04-07,B,Line2,826,729,8,88,Changeover,Operator B,Manual CSV Upload
2026-02-11,B,Line1,946,891,25,53,Quality Issue,Operator D,Legacy Excel Log
2026-01-22,C,Line1,1155,1184,11,89,Equipment Failure,Operator E,Manual CSV Upload
2026-04-10,C,Line2,819,743,18,27,Quality Issue,Operator D,Manual CSV Upload
2026-01-19,A,Line1,1150,1058,19,89,Equipment Failure,Operator C,Google Form
2026-04-23,C,Line3,1031,1059,13,0,No Downtime,Operator D,Manual CSV Upload
2026-01-15,B,Line2,860,822,15,94,Changeover,Operator A,Legacy Excel Log
2026-04-04,C,Line3,1135,1117,31,26,Changeover,Operator B,Manual CSV Upload
2026-02-02,C,Line2,964,936,1,89,Material Shortage,Operator E,Legacy Excel Log
2026-04-15,B,Line4,955,987,27,0,No Downtime,Operator C,Google Form
2026-04-10,A,Line4,835,798,10,0,No Downtime,Operator E,Manual CSV Upload
2026-02-11,B,Line4,1058,970,4,0,No Downtime,Operator D,Manual CSV Upload
2026-02-26,A,Line3,837,771,11,53,Material Shortage,Operator E,Google Form
2026-01-13,C,Line3,1124,1016,30,60,Material Shortage,Operator E,Manual CSV Upload
2026-04-06,A,Line1,1102,949,14,77,Changeover,Operator A,Google Form
2026-01-07,A,Line3,1078,1039,11,100,Equipment Failure,Operator A,Legacy Excel Log
2026-01-14,B,Line3,961,949,0,99,Equipment Failure,Operator A,Manual CSV Upload
2026-04-26,A,Line4,949,960,17,30,Changeover,Operator B,Legacy Excel Log
